id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MAP4K1	12	5.286e-24	2.615e-07	8.1e-05	1	11	-2.8128	1.0	1.0	1.0	18914	0	-2.8128
SLA2	12	5.725e-20	2.615e-07	8.1e-05	2	12	-2.339	1.0	1.0	1.0	18930	0	-2.339
MUC1	12	2.467e-16	2.615e-07	8.1e-05	3	12	-2.1793	1.0	1.0	1.0	18919	0	-2.1793
JMJD1C	12	4.3162e-16	2.615e-07	8.1e-05	4	12	-2.1524	1.0	1.0	1.0	18923	0	-2.1524
LAT2	12	1.4382e-15	2.615e-07	8.1e-05	5	12	-2.6588	1.0	1.0	1.0	18922	0	-2.6588
GRAP	12	2.0945e-15	2.615e-07	8.1e-05	6	11	-2.0188	0.99866	0.99812	1.0	18803	0	-2.0188
SETD1B	12	5.8798e-15	2.615e-07	8.1e-05	7	10	-1.4086	0.99937	0.99917	1.0	18846	0	-1.4086
EBF2	12	1.3297e-14	2.615e-07	8.1e-05	8	12	-1.6911	1.0	1.0	1.0	18927	0	-1.6911
IL2RB	12	2.4449e-13	2.615e-07	8.1e-05	9	12	-1.6427	1.0	1.0	1.0	18926	0	-1.6427
FOXF1	12	4.8823e-13	2.615e-07	8.1e-05	10	11	-1.726	0.8237	0.86012	1.0	16142	1	-1.726
IKZF3	12	5.6248e-13	2.615e-07	8.1e-05	11	12	-1.8336	1.0	1.0	1.0	18929	0	-1.8336
GATA3	12	9.0027e-13	2.615e-07	8.1e-05	12	11	-1.7062	0.99987	0.99988	1.0	18880	0	-1.7062
SPN	12	1.0417e-12	2.615e-07	8.1e-05	13	10	-1.4051	0.99554	0.99313	1.0	18660	0	-1.4051
RNF19B	12	1.1666e-12	2.615e-07	8.1e-05	14	12	-1.3295	1.0	1.0	1.0	18920	0	-1.3295
SOCS3	12	1.357e-12	2.615e-07	8.1e-05	15	12	-1.3051	1.0	1.0	1.0	18928	0	-1.3051
FOXL2NB	12	5.4447e-12	2.615e-07	8.1e-05	16	11	-2.0923	1.0	1.0	1.0	18915	0	-2.0923
BTLA	12	1.9524e-11	2.615e-07	8.1e-05	17	11	-1.5109	1.0	1.0	1.0	18912	0	-1.5109
LYN	12	2.6745e-11	2.615e-07	8.1e-05	18	12	-1.1586	1.0	1.0	1.0	18925	0	-1.1586
FOXL2	12	3.6095e-11	2.615e-07	8.1e-05	19	10	-1.7083	0.93369	0.9217	1.0	17295	1	-1.7083
FOXA3	12	1.1395e-10	2.615e-07	8.1e-05	20	12	-1.0691	1.0	1.0	1.0	18924	0	-1.0691
SELPLG	12	1.2214e-10	2.615e-07	8.1e-05	21	11	-0.95281	1.0	1.0	1.0	18903	0	-0.95281
CD52	12	1.6545e-10	2.615e-07	8.1e-05	22	11	-1.2584	1.0	1.0	1.0	18909	0	-1.2584
INPPL1	12	1.7013e-10	2.615e-07	8.1e-05	23	12	-1.4585	1.0	1.0	1.0	18918	0	-1.4585
PTPRC	12	1.7014e-10	2.615e-07	8.1e-05	24	11	-1.2902	1.0	1.0	1.0	18916	0	-1.2902
GATA6	12	1.9724e-10	2.615e-07	8.1e-05	25	11	-1.4689	0.99999	1.0	1.0	18902	0	-1.4689
LAX1	12	2.0273e-10	2.615e-07	8.1e-05	26	10	-1.4564	0.99449	0.99198	1.0	18616	0	-1.4564
CD5	12	2.3517e-10	2.615e-07	8.1e-05	27	11	-1.3118	1.0	1.0	1.0	18913	0	-1.3118
MUC21	12	5.5622e-10	2.615e-07	8.1e-05	28	10	-1.605	0.94988	0.93373	1.0	17519	1	-1.605
GRB2	12	6.5581e-10	2.615e-07	8.1e-05	29	11	-1.4556	1.0	1.0	1.0	18905	0	-1.4556
TRIM28	12	2.7928e-09	2.615e-07	8.1e-05	30	9	-1.0523	0.91919	0.91374	1.0	17148	1	-1.0523
ZSWIM8	12	5.8395e-09	2.615e-07	8.1e-05	31	12	-0.82046	1.0	1.0	1.0	18921	0	-0.82046
LAPTM5	12	6.3378e-09	2.615e-07	8.1e-05	32	12	-1.1514	1.0	1.0	1.0	18917	0	-1.1514
LCK	12	7.7674e-09	2.615e-07	8.1e-05	33	11	-1.2262	1.0	1.0	1.0	18910	0	-1.2262
NFKBIA	12	1.2602e-08	2.615e-07	8.1e-05	34	10	-1.2571	0.99855	0.99799	1.0	18794	0	-1.2571
PCBP2	12	1.5258e-08	2.615e-07	8.1e-05	35	10	-1.008	0.98898	0.98322	1.0	18420	0	-1.008
LMO4	12	1.6592e-08	2.615e-07	8.1e-05	36	10	-0.99478	0.9999	0.99991	1.0	18882	0	-0.99478
MIPEP	12	1.8826e-08	2.615e-07	8.1e-05	37	6	-0.67571	0.70692	0.7778	0.985686	14894	2	-0.67571
ARHGDIB	12	1.9335e-08	2.615e-07	8.1e-05	38	9	-1.2362	0.99994	0.99995	1.0	18890	0	-1.2362
FOXF2	12	2.7817e-08	2.615e-07	8.1e-05	39	10	-1.0319	0.95952	0.94321	1.0	17675	1	-1.0319
GABRQ	12	3.2387e-08	2.615e-07	8.1e-05	40	10	-0.99929	0.99998	0.99999	1.0	18897	0	-0.99929
PSTPIP1	12	3.6277e-08	2.615e-07	8.1e-05	41	10	-0.92195	0.99802	0.99711	1.0	18770	0	-0.92195
ATP2A2	12	3.795e-08	2.615e-07	8.1e-05	42	10	-1.0262	0.99893	0.99844	1.0	18816	0	-1.0262
CD44	12	4.1092e-08	2.615e-07	8.1e-05	43	9	-1.0417	0.72031	0.7853	0.98754	15022	2	-1.0417
RHCE	12	4.5713e-08	2.615e-07	8.1e-05	44	11	-0.86513	0.90852	0.90868	1.0	17053	1	-0.86513
LRRC25	12	5.0927e-08	2.615e-07	8.1e-05	45	9	-1.2363	0.43951	0.55662	0.913768	11488	2	-1.2363
CEBPB	12	7.5942e-08	2.615e-07	8.1e-05	46	9	-1.353	0.9945	0.99198	1.0	18617	0	-1.353
GCSAM	12	7.918e-08	2.615e-07	8.1e-05	47	11	-0.99859	0.99095	0.98634	1.0	18493	0	-0.99859
WLS	12	9.5661e-08	2.615e-07	8.1e-05	48	10	-0.99409	0.97386	0.96129	1.0	17982	1	-0.99409
IKZF1	12	1.3061e-07	2.615e-07	8.1e-05	49	10	-1.0515	0.99999	0.99999	1.0	18901	0	-1.0515
PTPN12	12	1.3126e-07	2.615e-07	8.1e-05	50	9	-1.0955	0.99995	0.99996	1.0	18893	0	-1.0955
CST5	12	1.4089e-07	2.615e-07	8.1e-05	51	10	-0.88186	0.99736	0.99649	1.0	18733	0	-0.88186
SIGLEC6	12	1.4207e-07	2.615e-07	8.1e-05	52	11	-0.67139	0.99673	0.99526	1.0	18713	0	-0.67139
XKR9	8	1.4401e-07	2.615e-07	8.1e-05	53	6	-1.2161	0.94353	0.92704	1.0	17429	0	-1.2161
SLA	12	1.8011e-07	2.615e-07	8.1e-05	54	10	-0.64475	0.98799	0.98218	1.0	18386	0	-0.64475
POGZ	12	1.9329e-07	2.615e-07	8.1e-05	55	4	-0.093278	0.15463	0.22769	0.661305	6490	4	-0.093278
WNK4	12	2.0273e-07	2.615e-07	8.1e-05	56	10	-1.039	0.56163	0.662	0.956359	13061	1	-1.039
C19orf35	12	2.3187e-07	2.615e-07	8.1e-05	57	7	-0.96478	0.38175	0.50482	0.884425	10746	2	-0.96478
ITPKA	12	2.5972e-07	2.615e-07	8.1e-05	58	11	-0.90171	1.0	1.0	1.0	18911	0	-0.90171
SLC8A2	12	3.11e-07	2.615e-07	8.1e-05	59	8	-0.93179	0.14879	0.22028	0.653938	6321	2	-0.93179
POU2AF1	12	4.3499e-07	2.615e-07	8.1e-05	60	9	-1.0353	0.99984	0.99985	1.0	18878	0	-1.0353
BTBD2	12	4.6227e-07	2.615e-07	8.1e-05	61	7	-0.56473	0.97328	0.96008	1.0	17966	1	-0.56473
CEACAM1	12	5.3266e-07	7.8451e-07	0.00024	62	10	-0.9277	0.99666	0.99513	1.0	18709	0	-0.9277
LPAR5	12	9.0463e-07	1.3075e-06	0.000369	63	10	-0.77194	0.99823	0.99752	1.0	18782	0	-0.77194
NFATC1	12	9.2502e-07	1.3075e-06	0.000369	64	8	-1.1648	0.9842	0.97575	1.0	18272	0	-1.1648
PIP5K1B	12	9.5044e-07	1.3075e-06	0.000369	65	8	-0.92096	0.99645	0.9948	1.0	18700	0	-0.92096
COLQ	12	9.7277e-07	1.3075e-06	0.000369	66	4	-0.16781	0.81377	0.85141	1.0	15997	2	-0.16781
CD37	12	9.733e-07	1.3075e-06	0.000369	67	7	-0.5267	0.37033	0.49177	0.881593	10531	3	-0.5267
SPRED1	12	1.0802e-06	1.8305e-06	0.000488	68	8	-0.88353	0.97788	0.96692	1.0	18074	0	-0.88353
GCSAML	12	1.2408e-06	1.8305e-06	0.000488	69	10	-0.88655	0.99801	0.99711	1.0	18768	0	-0.88655
UBASH3B	12	1.2962e-06	1.8305e-06	0.000488	70	9	-1.0346	0.99995	0.99996	1.0	18892	0	-1.0346
ITPKC	12	1.4992e-06	1.8305e-06	0.000488	71	8	-0.7389	0.99828	0.99759	1.0	18785	0	-0.7389
SIGLEC10	12	2.1297e-06	2.3535e-06	0.000619	72	7	-0.91756	0.43166	0.54412	0.90112	11400	2	-0.91756
PIP5K1A	12	2.2873e-06	2.8765e-06	0.000664	73	9	-0.83584	0.3937	0.51555	0.888546	10954	2	-0.83584
PDPN	12	2.302e-06	2.8765e-06	0.000664	74	8	-0.93262	0.85678	0.88926	1.0	16609	1	-0.93262
CEBPA	12	2.3965e-06	2.8765e-06	0.000664	75	10	-1.1422	0.71886	0.78283	0.986083	15005	1	-1.1422
TMEM151A	12	2.4342e-06	2.8765e-06	0.000664	76	5	-0.28186	0.92325	0.91497	1.0	17184	1	-0.28186
HYLS1	12	2.6496e-06	2.8765e-06	0.000664	77	6	-0.41443	0.92359	0.91497	1.0	17189	1	-0.41443
ALPL	12	2.7313e-06	2.8765e-06	0.000664	78	7	-0.64573	0.99239	0.98824	1.0	18542	0	-0.64573
SMAD9	12	2.7403e-06	2.8765e-06	0.000664	79	8	-1.0469	0.93459	0.92263	1.0	17301	1	-1.0469
NDNF	12	2.8253e-06	2.8765e-06	0.000664	80	9	-1.1129	0.99847	0.99789	1.0	18792	0	-1.1129
PRELP	12	2.9635e-06	2.8765e-06	0.000664	81	10	-0.71487	0.98437	0.97625	1.0	18280	0	-0.71487
SH3KBP1	12	3.0574e-06	2.8765e-06	0.000664	82	7	-0.67704	0.91984	0.91374	1.0	17155	1	-0.67704
SIPA1L1	12	3.4084e-06	3.3995e-06	0.000723	83	7	-0.49507	0.99838	0.99767	1.0	18788	0	-0.49507
ANKRD12	12	3.4709e-06	3.3995e-06	0.000723	84	7	-0.82337	0.99938	0.99919	1.0	18848	0	-0.82337
MUC8	12	3.523e-06	3.3995e-06	0.000723	85	10	-0.79335	0.99442	0.99198	1.0	18613	0	-0.79335
B3GNT5	12	3.7368e-06	3.3995e-06	0.000723	86	9	-0.99523	0.99952	0.99943	1.0	18854	0	-0.99523
RFC2	12	4.2057e-06	3.3995e-06	0.000723	87	9	-0.81726	0.15571	0.22909	0.661305	6519	1	-0.81726
PITPNA	12	4.259e-06	3.3995e-06	0.000723	88	7	-0.82028	0.68748	0.76792	0.985405	14704	1	-0.82028
NKX2-1	12	4.405e-06	3.3995e-06	0.000723	89	7	-0.71765	0.99978	0.99976	1.0	18875	0	-0.71765
SLC8A1	12	4.7488e-06	3.9225e-06	0.000825	90	9	-0.74572	0.96354	0.94958	1.0	17750	1	-0.74572
CD244	12	4.9725e-06	4.4455e-06	0.000915	91	8	-1.1143	0.0053275	0.012475	0.2213	1059	3	-1.1143
MBD1	12	5.2159e-06	4.4455e-06	0.000915	92	9	-0.78576	0.999	0.99853	1.0	18824	0	-0.78576
SOX18	12	5.4379e-06	4.9685e-06	0.001011	93	8	-0.80393	0.89818	0.90395	1.0	16970	1	-0.80393
CKAP2L	12	5.5052e-06	5.4915e-06	0.001094	94	5	-0.20971	0.32886	0.44773	0.854407	9790	2	-0.20971
SERINC2	12	5.5569e-06	5.4915e-06	0.001094	95	8	-0.67181	0.51764	0.61844	0.933646	12452	2	-0.67181
EIF3K	12	5.6073e-06	6.0145e-06	0.001186	96	10	-0.68948	0.74439	0.8016	0.991543	15259	1	-0.68948
NFKB2	12	5.9673e-06	7.5836e-06	0.001465	97	8	-0.98376	0.97777	0.96692	1.0	18071	0	-0.98376
DGKK	12	6.0226e-06	7.5836e-06	0.001465	98	7	-0.72658	0.98757	0.98204	1.0	18369	0	-0.72658
PTMS	12	7.4435e-06	8.1066e-06	0.001519	99	7	-0.92708	0.98963	0.98403	1.0	18442	0	-0.92708
ADGRV1	12	7.7187e-06	8.1066e-06	0.001519	100	8	-0.65311	0.39454	0.51651	0.888574	10967	1	-0.65311
CLCN2	12	7.9727e-06	8.1066e-06	0.001519	101	7	-0.65074	0.51669	0.61734	0.933646	12439	3	-0.65074
SLC37A4	12	8.4784e-06	9.6756e-06	0.001761	102	6	-0.50448	0.84322	0.87592	1.0	16393	2	-0.50448
KRTAP6-3	12	8.5303e-06	9.6756e-06	0.001761	103	10	-0.71043	0.98062	0.97069	1.0	18154	0	-0.71043
SOX13	12	8.754e-06	9.6756e-06	0.001761	104	9	-0.96429	0.47339	0.58275	0.922931	11904	2	-0.96429
PDLIM1	12	9.613e-06	1.0199e-05	0.001804	105	3	-0.0049872	0.43651	0.554	0.912374	11457	3	-0.0049872
SPANXA2	12	9.8317e-06	1.0199e-05	0.001804	106	9	-0.69544	0.97178	0.95852	1.0	17930	1	-0.69544
