id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MAP4K1	12	6.3804e-20	2.615e-07	7.2e-05	1	12	-2.5416	1.0	1.0	1.0	18926	0	-2.5416
INPPL1	12	3.1037e-17	2.615e-07	7.2e-05	2	12	-2.2873	1.0	1.0	1.0	18930	0	-2.2873
ARHGDIB	12	2.4226e-16	2.615e-07	7.2e-05	3	12	-1.9156	1.0	1.0	1.0	18928	0	-1.9156
LAT2	12	1.8663e-15	2.615e-07	7.2e-05	4	12	-2.1594	1.0	1.0	1.0	18929	0	-2.1594
SLA2	12	4.2619e-15	2.615e-07	7.2e-05	5	11	-1.9368	1.0	1.0	1.0	18915	0	-1.9368
GRAP	12	1.5591e-14	2.615e-07	7.2e-05	6	10	-1.9101	0.9996	0.99969	1.0	18854	0	-1.9101
ITPKA	12	2.9638e-13	2.615e-07	7.2e-05	7	10	-2.0069	1.0	1.0	1.0	18917	0	-2.0069
CEACAM1	12	1.2396e-12	2.615e-07	7.2e-05	8	12	-1.3577	1.0	1.0	1.0	18927	0	-1.3577
SMAGP	12	5.8936e-12	2.615e-07	7.2e-05	9	12	-1.0464	1.0	1.0	1.0	18925	0	-1.0464
IKZF3	12	9.6507e-12	2.615e-07	7.2e-05	10	12	-1.6347	1.0	1.0	1.0	18924	0	-1.6347
ITPKB	12	1.9021e-11	2.615e-07	7.2e-05	11	10	-1.2367	0.95709	0.95236	1.0	17563	1	-1.2367
PSTPIP1	12	3.4385e-11	2.615e-07	7.2e-05	12	10	-1.2737	0.9864	0.98317	1.0	18357	0	-1.2737
PTPN6	12	7.188e-11	2.615e-07	7.2e-05	13	10	-1.2103	0.99997	0.99998	1.0	18902	0	-1.2103
JMJD1C	12	1.2925e-10	2.615e-07	7.2e-05	14	11	-1.1791	0.99633	0.99611	1.0	18684	0	-1.1791
LYN	12	3.5339e-10	2.615e-07	7.2e-05	15	11	-1.0265	0.99987	0.9999	1.0	18887	0	-1.0265
EOMES	12	5.338e-10	2.615e-07	7.2e-05	16	10	-1.1927	0.99937	0.99945	1.0	18839	0	-1.1927
MUC1	12	7.6244e-10	2.615e-07	7.2e-05	17	11	-0.92837	1.0	1.0	1.0	18920	0	-0.92837
CST5	12	9.7023e-10	2.615e-07	7.2e-05	18	10	-1.0966	0.99698	0.99698	1.0	18711	0	-1.0966
GCSAML	12	1.014e-09	2.615e-07	7.2e-05	19	9	-1.3107	0.9916	0.99096	1.0	18518	0	-1.3107
LIME1	12	1.2043e-09	2.615e-07	7.2e-05	20	11	-1.3543	0.99999	0.99999	1.0	18907	0	-1.3543
PIP5K1B	12	1.8615e-09	2.615e-07	7.2e-05	21	12	-1.0674	1.0	1.0	1.0	18923	0	-1.0674
GCSAM	12	2.3487e-09	2.615e-07	7.2e-05	22	9	-1.164	0.83386	0.88829	1.0	16261	1	-1.164
CD52	12	2.7307e-09	2.615e-07	7.2e-05	23	12	-1.1467	1.0	1.0	1.0	18922	0	-1.1467
SPRED1	12	4.6082e-09	2.615e-07	7.2e-05	24	10	-0.96807	0.99995	0.99997	1.0	18900	0	-0.96807
SIT1	12	4.9723e-09	2.615e-07	7.2e-05	25	12	-0.86153	1.0	1.0	1.0	18921	0	-0.86153
IKZF1	12	5.8389e-09	2.615e-07	7.2e-05	26	11	-0.90842	0.99999	1.0	1.0	18909	0	-0.90842
SYPL1	12	1.1545e-08	2.615e-07	7.2e-05	27	9	-0.92981	0.9091	0.92658	1.0	16992	1	-0.92981
PIP5K1A	12	1.4914e-08	2.615e-07	7.2e-05	28	8	-0.96121	0.96003	0.95471	1.0	17623	1	-0.96121
NLGN4Y	12	1.5776e-08	2.615e-07	7.2e-05	29	6	-0.2704	0.78998	0.85228	1.0	15651	2	-0.2704
NKX2-6	12	1.8018e-08	2.615e-07	7.2e-05	30	9	-0.9291	0.99909	0.9991	1.0	18820	0	-0.9291
FOXE1	12	1.976e-08	2.615e-07	7.2e-05	31	10	-1.1867	0.91231	0.92834	1.0	17015	1	-1.1867
GRB2	12	2.1497e-08	2.615e-07	7.2e-05	32	10	-1.1981	0.99803	0.99799	1.0	18775	0	-1.1981
LAX1	12	2.6374e-08	2.615e-07	7.2e-05	33	11	-0.97419	0.64347	0.77745	1.0	14119	1	-0.97419
ARHGAP27	12	3.7086e-08	2.615e-07	7.2e-05	34	11	-0.80702	1.0	1.0	1.0	18919	0	-0.80702
SPN	12	4.3945e-08	2.615e-07	7.2e-05	35	8	-0.56619	0.73707	0.82376	1.0	15014	1	-0.56619
TCF12	12	5.9826e-08	2.615e-07	7.2e-05	36	11	-1.1733	0.74762	0.82781	1.0	15138	1	-1.1733
CD4	12	7.9614e-08	2.615e-07	7.2e-05	37	10	-0.82257	1.0	1.0	1.0	18911	0	-0.82257
EIF2B3	12	7.9739e-08	2.615e-07	7.2e-05	38	10	-0.86306	0.33676	0.52056	0.994469	9810	1	-0.86306
PTPRC	12	8.2531e-08	2.615e-07	7.2e-05	39	9	-1.0576	0.99816	0.99808	1.0	18783	0	-1.0576
NR4A3	12	1.0465e-07	2.615e-07	7.2e-05	40	9	-1.2273	0.96845	0.96296	1.0	17821	1	-1.2273
ZEB2	12	1.1409e-07	2.615e-07	7.2e-05	41	10	-1.2454	0.88679	0.91656	1.0	16814	1	-1.2454
NR4A1	12	1.2969e-07	2.615e-07	7.2e-05	42	11	-0.94832	0.99657	0.99653	1.0	18697	0	-0.94832
KLF2	12	1.6963e-07	2.615e-07	7.2e-05	43	11	-0.96223	0.99761	0.99765	1.0	18749	0	-0.96223
AMZ1	12	2.3934e-07	2.615e-07	7.2e-05	44	7	-0.85454	0.55256	0.69578	1.0	12841	2	-0.85454
SMOC2	12	2.6456e-07	2.615e-07	7.2e-05	45	9	-0.991	0.97865	0.97635	1.0	18113	0	-0.991
HERC1	12	2.6889e-07	2.615e-07	7.2e-05	46	10	-0.89732	1.0	1.0	1.0	18910	0	-0.89732
CEACAM7	12	2.8165e-07	2.615e-07	7.2e-05	47	10	-0.84662	0.94808	0.94431	1.0	17436	1	-0.84662
LRRC52	12	2.8845e-07	2.615e-07	7.2e-05	48	6	-0.64308	0.97688	0.97472	1.0	18061	0	-0.64308
ARID3A	12	3.9614e-07	2.615e-07	7.2e-05	49	10	-0.92003	0.99938	0.99948	1.0	18840	0	-0.92003
EPB41	12	4.1509e-07	2.615e-07	7.2e-05	50	7	-0.53831	0.11639	0.21943	0.765968	5409	2	-0.53831
TNNT2	12	4.2117e-07	2.615e-07	7.2e-05	51	9	-0.63082	0.38863	0.57383	1.0	10711	1	-0.63082
VPS28	12	4.3238e-07	2.615e-07	7.2e-05	52	5	-0.224	0.52344	0.66832	1.0	12440	3	-0.224
PIBF1	8	6.4998e-07	1.3075e-06	0.000317	53	3	0.052828	0.26388	0.39906	0.918484	8466	2	0.052828
TRIM6-TRIM34	12	6.5373e-07	2.615e-07	7.2e-05	54	8	-0.60985	0.96984	0.96504	1.0	17862	1	-0.60985
FOXL2NB	12	6.8194e-07	2.615e-07	7.2e-05	55	7	-0.74665	0.84979	0.90139	1.0	16482	1	-0.74665
SLC39A8	12	7.6019e-07	2.615e-07	7.2e-05	56	10	-0.90946	0.99995	0.99996	1.0	18899	0	-0.90946
SSC5D	11	8.2675e-07	1.8305e-06	0.000433	57	9	-0.78649	0.91116	0.91562	1.0	17007	1	-0.78649
SETD1B	12	8.4675e-07	2.615e-07	7.2e-05	58	7	-0.77021	0.31616	0.48941	0.980641	9405	2	-0.77021
ARHGAP19	12	8.9838e-07	2.615e-07	7.2e-05	59	10	-0.7288	0.99906	0.99905	1.0	18819	0	-0.7288
SIGLEC10	12	9.1607e-07	2.615e-07	7.2e-05	60	7	-0.83206	0.28054	0.44314	0.953048	8750	2	-0.83206
ARHGAP12	12	9.6946e-07	2.615e-07	7.2e-05	61	5	-0.24869	0.98529	0.98227	1.0	18323	0	-0.24869
PITPNA	12	1.1225e-06	2.615e-07	7.2e-05	62	8	-0.85399	0.96847	0.9631	1.0	17823	1	-0.85399
BTLA	12	1.1544e-06	2.615e-07	7.2e-05	63	8	-0.80769	0.95285	0.94873	1.0	17503	1	-0.80769
SLC20A2	12	1.1563e-06	2.615e-07	7.2e-05	64	10	-0.82431	0.99999	1.0	1.0	18908	0	-0.82431
PTPN12	12	1.1958e-06	2.615e-07	7.2e-05	65	9	-0.80435	0.56907	0.70927	1.0	13079	1	-0.80435
LRRC25	12	1.2935e-06	2.615e-07	7.2e-05	66	10	-0.9705	0.66573	0.78951	1.0	14313	1	-0.9705
