id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
VAV1	12	4.6302e-38	2.6138e-07	5.4e-05	1	12	-3.788	1.0	1.0	1.0	18934	0	-3.788
ZAP70	12	2.2012e-36	2.6138e-07	5.4e-05	2	12	-3.4367	1.0	1.0	1.0	18935	0	-3.4367
CD3G	12	5.5789e-36	2.6138e-07	5.4e-05	3	12	-3.2245	1.0	1.0	1.0	18932	0	-3.2245
CD28	12	1.3805e-33	2.6138e-07	5.4e-05	4	12	-2.1902	1.0	1.0	1.0	18933	0	-2.1902
CD3D	12	2.6761e-30	2.6138e-07	5.4e-05	5	10	-3.2449	0.98529	0.98467	1.0	18439	0	-3.2449
LCP2	12	1.2127e-29	2.6138e-07	5.4e-05	6	12	-3.1268	1.0	1.0	1.0	18938	0	-3.1268
CD3E	12	6.4175e-27	2.6138e-07	5.4e-05	7	11	-2.609	0.99984	0.99987	1.0	18871	0	-2.609
LCK	12	8.8221e-26	2.6138e-07	5.4e-05	8	11	-1.2203	0.99953	0.99961	1.0	18852	0	-1.2203
SRP19	12	2.8331e-25	2.6138e-07	5.4e-05	9	10	-2.0243	0.99408	0.9944	1.0	18660	0	-2.0243
TRAF6	12	3.8189e-24	2.6138e-07	5.4e-05	10	12	-1.7557	1.0	1.0	1.0	18939	0	-1.7557
CD2	12	1.6552e-23	2.6138e-07	5.4e-05	11	12	-1.9822	1.0	1.0	1.0	18928	0	-1.9822
SRP68	12	2.9769e-23	2.6138e-07	5.4e-05	12	9	-2.5042	0.13258	0.32281	1.0	5903	2	-2.5042
MAP3K7	12	1.0479e-22	2.6138e-07	5.4e-05	13	12	-1.461	1.0	1.0	1.0	18936	0	-1.461
CD247	12	3.7493e-21	2.6138e-07	5.4e-05	14	12	-2.3244	1.0	1.0	1.0	18930	0	-2.3244
VPS35	12	3.8403e-20	2.6138e-07	5.4e-05	15	12	-0.99473	1.0	1.0	1.0	18929	0	-0.99473
IFNG	12	9.3688e-20	2.6138e-07	5.4e-05	16	11	-1.423	0.98431	0.98374	1.0	18418	0	-1.423
STAT3	12	1.2423e-19	2.6138e-07	5.4e-05	17	11	-1.1446	0.98328	0.98228	1.0	18392	0	-1.1446
LAT	12	3.7178e-19	2.6138e-07	5.4e-05	18	11	-2.0606	0.99994	0.99996	1.0	18880	0	-2.0606
ITK	12	4.091e-19	2.6138e-07	5.4e-05	19	10	-1.5172	0.99999	1.0	1.0	18898	0	-1.5172
WAS	12	8.9079e-19	2.6138e-07	5.4e-05	20	12	-1.1856	1.0	1.0	1.0	18937	0	-1.1856
IFNGR2	12	1.7185e-17	2.6138e-07	5.4e-05	21	12	-1.0092	1.0	1.0	1.0	18931	0	-1.0092
PI4KB	12	8.9716e-17	2.6138e-07	5.4e-05	22	10	-1.326	1.0	1.0	1.0	18901	0	-1.326
PLCG1	12	3.1476e-16	2.6138e-07	5.4e-05	23	11	-1.5867	0.35066	0.60507	1.0	10850	1	-1.5867
TAF6L	12	5.1011e-16	2.6138e-07	5.4e-05	24	10	-0.91587	0.99999	0.99999	1.0	18893	0	-0.91587
SEL1L	12	1.0474e-15	2.6138e-07	5.4e-05	25	12	-0.96661	1.0	1.0	1.0	18927	0	-0.96661
VPS29	12	2.7067e-15	2.6138e-07	5.4e-05	26	12	-0.97411	1.0	1.0	1.0	18925	0	-0.97411
CUL1	12	1.2751e-13	2.6138e-07	5.4e-05	27	10	-0.95653	0.9978	0.99779	1.0	18784	0	-0.95653
MALT1	12	3.218e-13	2.6138e-07	5.4e-05	28	10	-0.95194	0.99491	0.99535	1.0	18687	0	-0.95194
TNFRSF1A	12	3.2843e-13	2.6138e-07	5.4e-05	29	12	-0.97361	1.0	1.0	1.0	18918	0	-0.97361
SPTLC2	12	6.0266e-13	2.6138e-07	5.4e-05	30	9	-1.5748	0.78001	0.89172	1.0	16312	1	-1.5748
RAC2	12	1.8577e-12	2.6138e-07	5.4e-05	31	10	-1.0572	0.99162	0.99204	1.0	18585	0	-1.0572
SRP72	12	3.2132e-12	2.6138e-07	5.4e-05	32	10	-0.97575	0.99999	0.99999	1.0	18890	0	-0.97575
TADA1	12	3.8411e-12	2.6138e-07	5.4e-05	33	10	-0.8639	1.0	1.0	1.0	18903	0	-0.8639
DEF6	12	4.0537e-12	2.6138e-07	5.4e-05	34	12	-0.80468	1.0	1.0	1.0	18924	0	-0.80468
SAE1	12	4.1143e-12	2.6138e-07	5.4e-05	35	11	-0.80901	1.0	1.0	1.0	18900	0	-0.80901
SHOC2	12	9.6185e-12	2.6138e-07	5.4e-05	36	10	-0.86539	0.96737	0.97052	1.0	18061	1	-0.86539
SRPRB	12	1.1067e-11	2.6138e-07	5.4e-05	37	12	-0.57737	1.0	1.0	1.0	18926	0	-0.57737
ETNK1	12	2.0334e-11	2.6138e-07	5.4e-05	38	10	-0.81102	0.8916	0.94338	1.0	17436	2	-0.81102
PCYT2	12	2.1251e-11	2.6138e-07	5.4e-05	39	11	-1.0422	0.99998	0.99999	1.0	18888	0	-1.0422
HNRNPL	12	3.13e-11	2.6138e-07	5.4e-05	40	10	-0.73534	0.99999	0.99999	1.0	18892	0	-0.73534
SEC61A1	12	4.0693e-11	2.6138e-07	5.4e-05	41	11	-0.94605	0.99999	1.0	1.0	18894	0	-0.94605
PRDM1	12	6.47e-11	2.6138e-07	5.4e-05	42	11	-0.6347	0.96882	0.97131	1.0	18091	1	-0.6347
AQP3	12	1.2621e-10	2.6138e-07	5.4e-05	43	11	-0.69932	1.0	1.0	1.0	18915	0	-0.69932
TLN1	12	1.4489e-10	2.6138e-07	5.4e-05	44	10	-0.79477	0.98911	0.98933	1.0	18517	0	-0.79477
TXK	12	2.5035e-10	2.6138e-07	5.4e-05	45	11	-0.69639	1.0	1.0	1.0	18916	0	-0.69639
RHOG	12	2.6118e-10	2.6138e-07	5.4e-05	46	10	-0.6921	0.96045	0.96604	1.0	17954	1	-0.6921
TMX1	12	3.9707e-10	2.6138e-07	5.4e-05	47	11	-0.69909	1.0	1.0	1.0	18912	0	-0.69909
BCL10	12	7.365e-10	2.6138e-07	5.4e-05	48	10	-0.94756	1.0	1.0	1.0	18904	0	-0.94756
GRAP2	12	7.8328e-10	2.6138e-07	5.4e-05	49	8	-0.864	0.95038	0.96154	1.0	17867	1	-0.864
TAF11	12	9.0596e-10	2.6138e-07	5.4e-05	50	10	-0.56777	0.99972	0.99977	1.0	18863	0	-0.56777
PTPRC	12	1.1187e-09	2.6138e-07	5.4e-05	51	11	-1.3277	0.99966	0.99972	1.0	18859	0	-1.3277
SEH1L	12	1.1959e-09	2.6138e-07	5.4e-05	52	10	-0.90379	0.99552	0.99585	1.0	18707	0	-0.90379
EXOC4	12	1.4939e-09	2.6138e-07	5.4e-05	53	12	-0.60722	1.0	1.0	1.0	18920	0	-0.60722
