id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
VAV1	12	2.3104e-36	2.6138e-07	0.00015	1	12	-2.916	1.0	1.0	1.0	18937	0	-2.916
LCP2	12	3.1889e-35	2.6138e-07	0.00015	2	12	-1.8811	1.0	1.0	1.0	18935	0	-1.8811
CD3G	12	2.4452e-29	2.6138e-07	0.00015	3	12	-2.6665	1.0	1.0	1.0	18930	0	-2.6665
IL2	12	5.3931e-29	2.6138e-07	0.00015	4	11	-2.6101	1.0	0.99999	1.0	18920	0	-2.6101
CD3D	12	5.9293e-29	2.6138e-07	0.00015	5	10	-2.4943	0.99586	0.99179	0.999727	18785	0	-2.4943
CD28	12	5.6909e-25	2.6138e-07	0.00015	6	12	-1.7262	1.0	1.0	1.0	18932	0	-1.7262
ZAP70	12	6.4271e-25	2.6138e-07	0.00015	7	12	-2.7808	1.0	1.0	1.0	18939	0	-2.7808
CD3E	12	1.0682e-20	2.6138e-07	0.00015	8	12	-1.9643	1.0	1.0	1.0	18938	0	-1.9643
ITK	12	1.3272e-20	2.6138e-07	0.00015	9	12	-1.4513	1.0	1.0	1.0	18926	0	-1.4513
CD2	12	6.3187e-20	2.6138e-07	0.00015	10	12	-1.9383	1.0	1.0	1.0	18927	0	-1.9383
IFNGR2	12	2.1566e-18	2.6138e-07	0.00015	11	12	-0.81108	1.0	1.0	1.0	18936	0	-0.81108
DEF6	12	6.9302e-18	2.6138e-07	0.00015	12	12	-1.1362	1.0	1.0	1.0	18934	0	-1.1362
RAC2	12	4.4895e-17	2.6138e-07	0.00015	13	12	-1.1531	1.0	1.0	1.0	18933	0	-1.1531
CD247	12	4.7213e-15	2.6138e-07	0.00015	14	11	-1.5909	0.99531	0.99116	0.999727	18762	0	-1.5909
GRAP2	12	8.3512e-15	2.6138e-07	0.00015	15	8	-1.187	0.19874	0.32676	0.834534	7398	2	-1.187
PLCG1	12	2.7114e-13	2.6138e-07	0.00015	16	10	-1.0269	0.18098	0.30681	0.829269	6937	2	-1.0269
VPS35	12	2.6842e-12	2.6138e-07	0.00015	17	11	-0.66985	0.9996	0.99919	1.0	18899	0	-0.66985
LAT	12	6.8763e-12	2.6138e-07	0.00015	18	11	-0.89413	1.0	1.0	1.0	18922	0	-0.89413
VPS29	12	1.8574e-11	2.6138e-07	0.00015	19	12	-0.75477	1.0	1.0	1.0	18929	0	-0.75477
KIDINS220	12	2.3356e-11	2.6138e-07	0.00015	20	9	-0.88006	0.95619	0.94383	0.991578	17986	1	-0.88006
TAF13	12	2.6871e-11	2.6138e-07	0.00015	21	12	-0.86301	1.0	1.0	1.0	18928	0	-0.86301
WAS	12	3.9592e-11	2.6138e-07	0.00015	22	11	-0.98659	0.99982	0.9996	1.0	18910	0	-0.98659
TRIM21	12	1.8576e-10	2.6138e-07	0.00015	23	12	-0.79531	1.0	1.0	1.0	18931	0	-0.79531
TRAF6	12	9.3536e-10	2.6138e-07	0.00015	24	10	-0.73739	0.99997	0.99994	1.0	18916	0	-0.73739
RHOG	12	1.6839e-09	2.6138e-07	0.00015	25	10	-0.57695	0.64078	0.75577	0.969035	14700	1	-0.57695
SHOC2	12	2.2149e-09	2.6138e-07	0.00015	26	11	-0.76584	1.0	1.0	1.0	18925	0	-0.76584
SULT2B1	12	3.7975e-09	2.6138e-07	0.00015	27	8	-0.44473	0.92622	0.92875	0.991578	17722	1	-0.44473
TAF2	12	5.9231e-09	2.6138e-07	0.00015	28	11	-0.60729	0.62155	0.74457	0.969035	14470	1	-0.60729
SCRIB	12	9.2991e-09	2.6138e-07	0.00015	29	9	-0.69826	0.86791	0.89679	0.987199	17159	1	-0.69826
RIPOR2	12	1.2506e-08	2.6138e-07	0.00015	30	11	-0.5006	1.0	1.0	1.0	18924	0	-0.5006
BCL10	12	1.495e-08	2.6138e-07	0.00015	31	8	-0.47398	0.89895	0.9208	0.991578	17556	1	-0.47398
TAF8	12	4.5171e-08	2.6138e-07	0.00015	32	11	-0.7202	1.0	1.0	1.0	18923	0	-0.7202
SRP68	12	7.2165e-08	2.6138e-07	0.00015	33	8	-0.70717	0.99962	0.99921	1.0	18901	0	-0.70717
SPRYD3	12	3.0605e-07	2.8752e-06	0.001602	34	8	-0.47902	0.85854	0.89069	0.987199	17046	2	-0.47902
TAF11	12	4.4716e-07	5.4889e-06	0.002888	35	11	-0.44789	0.99998	0.99996	1.0	18917	0	-0.44789
PTPRC	12	4.6678e-07	5.4889e-06	0.002888	36	10	-0.86005	0.99874	0.99743	1.0	18869	0	-0.86005
TAF4	12	5.6066e-07	6.5344e-06	0.003345	37	11	-0.85363	1.0	1.0	1.0	18921	0	-0.85363
RPN2	12	9.1213e-07	1.0716e-05	0.005341	38	9	-0.47427	0.99534	0.99116	0.999727	18764	0	-0.47427
MED23	12	9.4113e-07	1.1501e-05	0.005585	39	9	-0.50573	0.68265	0.79267	0.980925	15254	2	-0.50573
LOC101927322	12	1.1819e-06	1.4376e-05	0.006807	40	8	-0.64741	0.9829	0.96967	0.99662	18414	0	-0.64741
ELOF1	12	1.3113e-06	1.5944e-05	0.007365	41	10	-0.41498	0.9978	0.99552	1.0	18845	0	-0.41498
SRP19	12	1.88e-06	2.4831e-05	0.011139	42	10	-0.61578	0.99955	0.99911	1.0	18897	0	-0.61578
KIAA1109	12	2.185e-06	2.5876e-05	0.011139	43	10	-0.38221	0.95549	0.94383	0.991578	17981	1	-0.38221
PRKD2	12	2.2003e-06	2.5876e-05	0.011139	44	11	-0.55872	0.99998	0.99997	1.0	18918	0	-0.55872
TLN1	12	2.5092e-06	2.9013e-05	0.012211	45	9	-0.49084	0.94204	0.93721	0.991578	17850	1	-0.49084
GRIN2A	12	2.7274e-06	3.3195e-05	0.013668	46	6	-0.21998	0.60527	0.73129	0.966408	14269	1	-0.21998
KAT7	12	2.9526e-06	3.7377e-05	0.015062	47	10	-0.67819	0.82753	0.87241	0.987199	16704	2	-0.67819
PI4KB	12	4.2726e-06	4.6787e-05	0.018461	48	9	-0.70488	0.98252	0.9693	0.99662	18398	0	-0.70488
SH2D1A	12	4.697e-06	5.2537e-05	0.020307	49	10	-0.33865	0.85772	0.89	0.987199	17035	1	-0.33865
SPTLC2	12	4.9179e-06	5.6196e-05	0.021287	50	8	-0.69247	0.68539	0.79378	0.980925	15300	1	-0.69247
CASD1	12	5.1091e-06	5.7764e-05	0.021452	51	4	-0.050123	0.20144	0.33413	0.845946	7459	4	-0.050123
ING5	12	5.2733e-06	6.0901e-05	0.022137	52	9	-0.45674	0.90516	0.92182	0.991578	17597	1	-0.45674
CHUK	12	5.4802e-06	6.1947e-05	0.022137	53	9	-0.38065	0.6246	0.74658	0.969035	14507	2	-0.38065
NYNRIN	12	8.0044e-06	8.3902e-05	0.029428	54	4	-0.10765	0.4237	0.58176	0.928378	11827	1	-0.10765
CD6	12	1.036e-05	0.00010272	0.035374	55	10	-0.34569	0.9999	0.99976	1.0	18914	0	-0.34569
AQP3	12	1.157e-05	0.00010847	0.036043	56	9	-0.51902	0.76692	0.84274	0.985378	16137	2	-0.51902
DHX36	12	1.1727e-05	0.00010847	0.036043	57	7	-0.2541	0.91636	0.92579	0.991578	17667	1	-0.2541
NUP37	12	1.3028e-05	0.00012102	0.039356	58	9	-0.46375	0.98965	0.98079	0.998465	18599	0	-0.46375
C7orf66	12	1.3426e-05	0.00012415	0.039356	59	8	-0.38965	0.76532	0.84099	0.985378	16125	1	-0.38965
SRP72	12	1.3557e-05	0.00012468	0.039356	60	7	-0.54843	0.94966	0.94111	0.991578	17908	1	-0.54843
TUBA1C	12	1.4908e-05	0.00014036	0.043581	61	5	-0.10361	0.86476	0.89442	0.987199	17130	1	-0.10361
FITM2	12	1.6877e-05	0.00016022	0.048946	62	5	-0.12327	0.79174	0.85538	0.985378	16360	2	-0.12327
ELOA	12	1.7362e-05	0.00016545	0.049741	63	10	-0.33152	0.99983	0.9996	1.0	18911	0	-0.33152
ETNK1	12	1.8816e-05	0.00017852	0.052831	64	9	-0.3979	0.99589	0.99186	0.999727	18787	0	-0.3979
NCOR1	12	1.9563e-05	0.00018741	0.054608	65	8	-0.51992	0.99935	0.99871	1.0	18891	0	-0.51992
PGBD5	12	2.0238e-05	0.00019447	0.055806	66	6	-0.16411	0.61964	0.74191	0.969035	14443	3	-0.16411
FNDC4	12	2.0882e-05	0.00019891	0.056229	67	4	0.02447	0.45326	0.61749	0.9395	12376	3	0.02447
ATP6V0E1	12	2.8248e-05	0.00027209	0.075549	68	4	0.0033909	0.20187	0.3348	0.845946	7475	3	0.0033909
NDUFB1	12	2.8626e-05	0.00027523	0.075549	69	4	-0.10868	0.98038	0.96584	0.99662	18343	1	-0.10868
CD53	12	3.3121e-05	0.0003181	0.086068	70	9	-0.33611	0.97451	0.95703	0.993966	18235	1	-0.33611
SYK	12	3.3772e-05	0.00032332	0.08625	71	7	-0.2695	0.84974	0.88526	0.987199	16935	2	-0.2695
TXK	12	3.7947e-05	0.00035364	0.091754	72	6	-0.21949	0.93555	0.93393	0.991578	17798	1	-0.21949
SEC61B	12	3.7949e-05	0.00035364	0.091754	73	10	-0.36612	0.96794	0.95006	0.991578	18145	1	-0.36612
NDFIP2	12	4.3444e-05	0.0004284	0.109647	74	3	-0.039486	0.28771	0.43693	0.882897	9334	4	-0.039486
BCL11B	12	4.4986e-05	0.00044199	0.111617	75	9	-0.40342	0.93593	0.93448	0.991578	17800	1	-0.40342
THEMIS	12	4.6647e-05	0.00045035	0.112233	76	8	-0.42409	0.99788	0.99566	1.0	18847	0	-0.42409
MGAT4C	12	4.7549e-05	0.0004676	0.114666	77	10	-0.26501	0.96853	0.95105	0.991621	18158	1	-0.26501
CHD7	12	4.8903e-05	0.00047858	0.114666	78	6	-0.19191	0.47045	0.63101	0.9395	12651	2	-0.19191
UBA3	12	4.9309e-05	0.0004812	0.114666	79	10	-0.34319	0.98529	0.97293	0.99662	18469	0	-0.34319
HDAC7	12	4.9729e-05	0.00048433	0.114666	80	9	-0.36456	0.99999	0.99999	1.0	18919	0	-0.36456
ACTR5	12	5.1349e-05	0.00050054	0.115612	81	9	-0.53868	0.87456	0.90073	0.987199	17243	1	-0.53868
OTUD7B	12	5.1477e-05	0.00050054	0.115612	82	8	-0.28501	0.82321	0.8701	0.987199	16667	1	-0.28501
SIN3B	12	5.3998e-05	0.00053034	0.121019	83	8	-0.41614	0.96463	0.94832	0.991578	18092	1	-0.41614
TMX1	12	5.6305e-05	0.00054968	0.122598	84	6	-0.38186	0.93034	0.93065	0.991578	17763	1	-0.38186
OLFM4	12	5.6494e-05	0.0005502	0.122598	85	10	-0.23955	0.97592	0.9583	0.993966	18254	1	-0.23955
PRKAR1A	12	6.1322e-05	0.00061816	0.136139	86	7	-0.42524	0.94772	0.93939	0.991578	17888	1	-0.42524
CA10	12	6.4126e-05	0.00064011	0.139354	87	3	0.096083	0.091736	0.17681	0.746672	4460	6	0.096083
CCDC151	12	6.8625e-05	0.00065841	0.141708	88	8	-0.31333	0.6492	0.76097	0.969035	14816	1	-0.31333
RTP2	12	7.6578e-05	0.0007201	0.153243	89	5	-0.051273	0.38154	0.53773	0.914571	11089	3	-0.051273
ARHGAP26	12	8.2987e-05	0.00079276	0.166832	90	6	-0.25626	0.6016	0.73004	0.966408	14229	1	-0.25626
C4orf45	12	8.4513e-05	0.00080687	0.167936	91	9	-0.26619	0.84755	0.88327	0.987199	16906	1	-0.26619
BRPF1	12	9.4287e-05	0.00087692	0.177639	92	7	-0.27865	0.98156	0.96747	0.99662	18379	1	-0.27865
JUN	12	9.4712e-05	0.00087901	0.177639	93	8	-0.37464	0.56713	0.7029	0.963038	13782	2	-0.37464
TTBK2	12	9.4886e-05	0.00088163	0.177639	94	4	-0.10719	0.85336	0.88796	0.987199	16969	2	-0.10719
ADCY5	12	9.8447e-05	0.00090672	0.180771	95	8	-0.41359	0.73868	0.83109	0.985378	15885	1	-0.41359
