sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
CST9L_57	CST9L	115.34	5599.7	115.34	5599.7	5.5892	1.5039e+07	5306.5	75.288	1	0	0	0	True
TRHR_248	TRHR	24.776	1043.2	24.776	1043.2	5.3402	5.186e+05	349.69	54.461	1	0	0	0	True
TRHR_221	TRHR	0	69.234	0.85434	69.234	5.2432	2396.7	1.6074	53.935	1	0	0	0	True
MS4A5_53	MS4A5	0	64.54	0.85434	64.54	5.1434	2082.7	1.6074	50.233	1	0	0	0	True
DSPP_161	DSPP	0	35.204	0.85434	35.204	4.2872	619.65	1.6074	27.093	1	7.8852e-162	1.577e-161	8.4844e-159	True
SERPINA7_233	SERPINA7	0	29.336	0.85434	29.336	4.0321	430.31	1.6074	22.465	1	6.0345e-112	1.2069e-111	5.411e-109	True
LUZP4_107	LUZP4	1532.7	16960	1532.7	16960	3.4671	1.19e+08	5.5054e+05	20.792	1	2.614e-96	5.228e-96	2.0091e-93	True
GH2_46	GH2	28.193	440.05	28.193	440.05	3.9172	84812	438.29	19.673	1	2.0314e-86	4.0628e-86	1.3661e-83	True
GABRA6_189	GABRA6	7.6891	138.47	7.6891	138.47	4.0046	8551.6	47.151	19.046	1	4.1174e-81	8.2347e-81	2.4613e-78	True
SLC22A25_547	SLC22A25	48.697	644.23	48.697	644.23	3.6986	1.7733e+05	1146.6	17.587	1	1.6679e-69	3.3358e-69	8.9732e-67	True
IFIT1B_133	IFIT1B	18.795	254.64	18.795	254.64	3.6909	27811	216.31	16.036	1	4.0044e-58	8.0087e-58	1.9585e-55	True
CSHL1_25	CSHL1	0	21.122	0.85434	21.122	3.5765	223.07	1.6074	15.986	1	1.0599e-57	2.1198e-57	4.7518e-55	True
KRTAP10-4_51	KRTAP10-4	24.776	322.7	24.776	322.7	3.6506	44380	349.69	15.932	1	2.1038e-57	4.2075e-57	8.7063e-55	True
SERPINB12_347	SERPINB12	49.552	574.99	49.552	574.99	3.5102	1.3804e+05	1182.4	15.281	1	5.561e-53	1.1122e-52	2.137e-50	True
KRT73_595	KRT73	25.63	292.19	25.63	292.19	3.4607	35527	371.02	13.839	1	8.1767e-44	1.6353e-43	2.9327e-41	True
CDCP2_489	CDCP2	65.784	605.5	65.784	605.5	3.1829	1.4565e+05	1953.4	12.212	1	1.4454e-34	2.8907e-34	4.8601e-32	True
TAS2R40_88	TAS2R40	152.07	1071.4	152.07	1071.4	2.8085	4.2255e+05	8695.7	9.8583	1	3.326e-23	6.6519e-23	1.0526e-20	True
KRTAP10-9_30	KRTAP10-9	19597	91111	19597	91111	2.2169	2.5571e+09	5.4183e+07	9.7154	1	1.3014e-22	2.6028e-22	3.8898e-20	True
FSCB_225	FSCB	76.891	566.78	76.891	566.78	2.8658	1.2e+05	2577.2	9.65	1	2.628e-22	5.2561e-22	7.4415e-20	True
PASD1_369	PASD1	32.465	255.81	32.465	255.81	2.94	24942	561.25	9.4277	1	2.292e-21	4.5839e-21	5.8963e-19	True
C2orf83_158	C2orf83	2552.8	13614	2552.8	13614	2.4145	6.118e+07	1.3791e+06	9.4194	1	2.3015e-21	4.6031e-21	5.8963e-19	True
IL12B_196	IL12B	0	11.735	0.85434	11.735	2.7798	68.85	1.6074	8.5818	1	6.2261e-18	1.2452e-17	1.5226e-15	True
GHRH_84	GHRH	1419.1	6952.7	1419.1	6952.7	2.2918	1.5311e+07	4.7928e+05	7.9931	1	6.7132e-16	1.3426e-15	1.5703e-13	True
MMP20_213	MMP20	57.241	366.12	57.241	366.12	2.6561	47703	1526.3	7.9061	1	1.4303e-15	2.8606e-15	3.078e-13	True
GPR119_305	GPR119	1156.8	5707.7	1156.8	5707.7	2.3018	1.0355e+07	3.3183e+05	7.9003	1	1.4228e-15	2.8456e-15	3.078e-13	True
TSPO2_252	TSPO2	3451.5	14891	3451.5	14891	2.1088	6.5433e+07	2.3739e+06	7.4248	1	5.72e-14	1.144e-13	1.1836e-11	True
BRDT_225	BRDT	3777	15919	3777	15919	2.0751	7.3715e+07	2.7921e+06	7.2665	1	1.8667e-13	3.7333e-13	3.7195e-11	True
MAGEB18_140	MAGEB18	3702.7	14828	3702.7	14828	2.0014	6.1884e+07	2.694e+06	6.7781	1	6.1625e-12	1.2325e-11	1.1841e-09	True
